Member Entity ID,Parent Entity ID,Campus ID,Relationship,Source Record ID,Observation ID,Relationship Basis,Registry Version
campus:821d2b2c0fe7f83b,campus:821d2b2c0fe7f83b,campus:821d2b2c0fe7f83b,observation_supports_campus,1020,fractracker:1020,campus identity evidence,9.6.2
campus:4525e11658341835,campus:4525e11658341835,campus:4525e11658341835,observation_supports_campus,1021,fractracker:1021,campus identity evidence,9.6.2
campus:e35fcbdb63a82f90,campus:e35fcbdb63a82f90,campus:e35fcbdb63a82f90,observation_supports_campus,1029,fractracker:1029,campus identity evidence,9.6.2
campus:e61538da2635ea1d,campus:e61538da2635ea1d,campus:e61538da2635ea1d,observation_supports_campus,1030,fractracker:1030,campus identity evidence,9.6.2
campus:1fb19c99c3f32915,campus:1fb19c99c3f32915,campus:1fb19c99c3f32915,observation_supports_campus,1031,fractracker:1031,campus identity evidence,9.6.2
campus:8735be2876bef006,campus:8735be2876bef006,campus:8735be2876bef006,observation_supports_campus,1032,fractracker:1032,campus identity evidence,9.6.2
campus:44bb86b7afa7a4b2,campus:44bb86b7afa7a4b2,campus:44bb86b7afa7a4b2,observation_supports_campus,1034,fractracker:1034,campus identity evidence,9.6.2
campus:2e021c3664518110,campus:2e021c3664518110,campus:2e021c3664518110,observation_supports_campus,1035,fractracker:1035,campus identity evidence,9.6.2
campus:986f723fe108b543,campus:986f723fe108b543,campus:986f723fe108b543,observation_supports_campus,1036,fractracker:1036,campus identity evidence,9.6.2
campus:d6db7f6d4837cafc,campus:d6db7f6d4837cafc,campus:d6db7f6d4837cafc,observation_supports_campus,1037,fractracker:1037,campus identity evidence,9.6.2
campus:6cfb14e677eb0312,campus:6cfb14e677eb0312,campus:6cfb14e677eb0312,observation_supports_campus,1038,fractracker:1038,campus identity evidence,9.6.2
campus:6b5e06ded8325c6b,campus:6b5e06ded8325c6b,campus:6b5e06ded8325c6b,observation_supports_campus,1039,fractracker:1039,campus identity evidence,9.6.2
building:07b9ca9f0df48f26,campus:bb1f6db617bc0fc7,campus:bb1f6db617bc0fc7,building_in_campus,im3-source:5e18ca4d2956557d,im3:5e18ca4d2956557d,source-native building observation,9.6.2
building:07b9ca9f0df48f26,campus:bb1f6db617bc0fc7,campus:bb1f6db617bc0fc7,building_in_campus,osm-way-710070925,gigawatt:osm-way-710070925,source-native building observation,9.6.2
building:578afa302ae1e472,campus:bb1f6db617bc0fc7,campus:bb1f6db617bc0fc7,building_in_campus,osm-way-706726088,gigawatt:osm-way-706726088,source-native building observation,9.6.2
campus:bb1f6db617bc0fc7,campus:bb1f6db617bc0fc7,campus:bb1f6db617bc0fc7,observation_supports_campus,1040,fractracker:1040,campus identity evidence,9.6.2
campus:ce36c6a8071112a2,campus:ce36c6a8071112a2,campus:ce36c6a8071112a2,observation_supports_campus,1041,fractracker:1041,campus identity evidence,9.6.2
campus:2356d663b237fa32,campus:2356d663b237fa32,campus:2356d663b237fa32,observation_supports_campus,1042,fractracker:1042,campus identity evidence,9.6.2
campus:cd00ef31c12c4b36,campus:cd00ef31c12c4b36,campus:cd00ef31c12c4b36,observation_supports_campus,1043,fractracker:1043,campus identity evidence,9.6.2
campus:f6ebd29d36498ccd,campus:f6ebd29d36498ccd,campus:f6ebd29d36498ccd,observation_supports_campus,1044,fractracker:1044,campus identity evidence,9.6.2
campus:ed9fdffce187b77a,campus:ed9fdffce187b77a,campus:ed9fdffce187b77a,observation_supports_campus,1047,fractracker:1047,campus identity evidence,9.6.2
campus:e54d36a90b958dfb,campus:e54d36a90b958dfb,campus:e54d36a90b958dfb,observation_supports_campus,1049,fractracker:1049,campus identity evidence,9.6.2
campus:2a580e0da4710237,campus:2a580e0da4710237,campus:2a580e0da4710237,observation_supports_campus,1050,fractracker:1050,campus identity evidence,9.6.2
campus:78b14384a93606c5,campus:78b14384a93606c5,campus:78b14384a93606c5,observation_supports_campus,1055,fractracker:1055,campus identity evidence,9.6.2
campus:7b4990267edfeec7,campus:7b4990267edfeec7,campus:7b4990267edfeec7,observation_supports_campus,1056,fractracker:1056,campus identity evidence,9.6.2
campus:b900ac088c2c8c9a,campus:b900ac088c2c8c9a,campus:b900ac088c2c8c9a,observation_supports_campus,1057,fractracker:1057,campus identity evidence,9.6.2
campus:00e35461967bb29b,campus:00e35461967bb29b,campus:00e35461967bb29b,observation_supports_campus,1064,fractracker:1064,campus identity evidence,9.6.2
campus:c7ab9e50f707afd3,campus:c7ab9e50f707afd3,campus:c7ab9e50f707afd3,observation_supports_campus,1068,fractracker:1068,campus identity evidence,9.6.2
campus:857aac48bcfbcfa1,campus:857aac48bcfbcfa1,campus:857aac48bcfbcfa1,observation_supports_campus,1072,fractracker:1072,campus identity evidence,9.6.2
campus:5402bd219baa5a1e,campus:5402bd219baa5a1e,campus:5402bd219baa5a1e,observation_supports_campus,1073,fractracker:1073,campus identity evidence,9.6.2
building:e135bedf4cf558ff,campus:bc686521ad88c394,campus:bc686521ad88c394,building_in_campus,im3-source:f658cef514373f30,im3:f658cef514373f30,source-native building observation,9.6.2
building:e135bedf4cf558ff,campus:bc686521ad88c394,campus:bc686521ad88c394,building_in_campus,osm-way-996723586,gigawatt:osm-way-996723586,source-native building observation,9.6.2
campus:bc686521ad88c394,campus:bc686521ad88c394,campus:bc686521ad88c394,observation_supports_campus,1074,fractracker:1074,campus identity evidence,9.6.2
