Observation ID,Source Record ID,Source,Source Class,Observation Level,Name,Operator,Owner,Developer,Occupant,Address,City,State,County,ZIP Code,Latitude,Longitude,Location Precision,Purpose,Status,Status Detail,Status Date,Expected Service Date,Square Feet,Facility Count,Building Count,Property Size Acres,Project Cost,Raw Capacity Text,Published Capacity Estimate Low MW,Published Capacity Estimate MW,Published Capacity Estimate High MW,Capacity Estimate Basis,Planned Data Center Capacity MW,Contracted Utility Capacity MW,Energized Capacity MW,Annual Electricity Consumption MWh,Planned Onsite Generation MW,Power Source,Dedicated Power Plant,Generator Count,Utility,Balancing Authority,Watershed,Water Withdrawal Gallons/Year,Water Consumption Gallons/Year,Site WUE L/kWh,Cooling System,Water Source,Water Permit or Utility Record,Reclaimed Water Use,Water Evidence Scope,Water Evidence Grade,Water Evidence Type,Water Evidence Source,Water Evidence URL,Water Evidence Date,Community Response,Evidence Grade,Evidence Type,Inventory Confidence,Source URL,Upstream Source URL,Source Date,Source Updated Date,Notes,Resolution Reason
gigawatt:osm-way-203432103,osm-way-203432103,Gigawatt Map retained export,Observed footprint,building,IU Data Center,,,,,,,IN,,,39.174419,-86.500703,Published point,,Observed footprint,,,,,,,,,,3.54,4.71,5.89,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-204316962,osm-way-204316962,Gigawatt Map retained export,Observed footprint,building,IO Datacenter,,,,,,,NJ,,,40.520901,-74.347317,Published point,,Observed footprint,,,,,,,,,,31.12,41.5,51.87,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-204460681,osm-way-204460681,Gigawatt Map retained export,Observed footprint,building,DataBank Piscataway EWR2,,,,,,,NJ,Middlesex County,,40.549213,-74.45821,Published point,,Observed footprint,,,,,,,,,,1.9,2.53,3.17,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,U.S. jurisdiction reconciled from co-located IM3 geometry.,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-204460799,osm-way-204460799,Gigawatt Map retained export,Observed footprint,building,Optimum,,,,,,,NJ,Middlesex County,,40.546826,-74.492029,Published point,,Observed footprint,,,,,,,,,,2.55,3.41,4.26,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,U.S. jurisdiction reconciled from co-located IM3 geometry.,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-204460812,osm-way-204460812,Gigawatt Map retained export,Observed footprint,building,Equinix,equinix,,equinix,,,,NJ,Middlesex County,,40.544882,-74.495381,Published point,,Observed footprint,,,,,,,,,,2.34,3.12,3.9,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,U.S. jurisdiction reconciled from co-located IM3 geometry.,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-204460835,osm-way-204460835,Gigawatt Map retained export,Observed footprint,building,Barclays Datacenter,,,,,,,NJ,Middlesex County,,40.547244,-74.459737,Published point,,Observed footprint,,,,,,,,,,13.21,17.61,22.02,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,U.S. jurisdiction reconciled from co-located IM3 geometry.,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-205724881,osm-way-205724881,Gigawatt Map retained export,Observed footprint,building,Intergate Seattle East Building 2,,,,,,,WA,,,47.495031,-122.29057,Published point,,Observed footprint,,,,,,,,,,4.02,5.37,6.71,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-205724885,osm-way-205724885,Gigawatt Map retained export,Observed footprint,building,Intergate Seattle East Building 1,,,,,,,WA,King County,,47.49486,-122.288194,Published point,,Observed footprint,,,,,,,,,,3.67,4.89,6.12,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,U.S. jurisdiction reconciled from co-located IM3 geometry.,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-205823968,osm-way-205823968,Gigawatt Map retained export,Observed footprint,building,Equinix SV15,equinix,,equinix,,,,CA,,,37.375495,-121.988406,Published point,,Observed footprint,,,,,,,,,,1.43,1.91,2.39,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-205823970,osm-way-205823970,Gigawatt Map retained export,Observed footprint,building,Equinix SV16,equinix,,equinix,,,,CA,,,37.376118,-121.988688,Published point,,Observed footprint,,,,,,,,,,0.99,1.32,1.65,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-205823971,osm-way-205823971,Gigawatt Map retained export,Observed footprint,building,Equinix SV17,equinix,,equinix,,,,CA,,,37.376529,-121.988584,Published point,,Observed footprint,,,,,,,,,,1.59,2.12,2.65,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-205823980,osm-way-205823980,Gigawatt Map retained export,Observed footprint,building,Equinix SV14,equinix,,equinix,,,,CA,,,37.374962,-121.988509,Published point,,Observed footprint,,,,,,,,,,0.76,1.01,1.26,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-205846843,osm-way-205846843,Gigawatt Map retained export,Observed footprint,building,CoreSite SV4,coresite,,coresite,,,,CA,Santa Clara County,,37.376263,-121.970684,Published point,,Observed footprint,,,,,,,,,,1.95,2.6,3.25,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,U.S. jurisdiction reconciled from co-located IM3 geometry.,Insufficient evidence to establish or attach a distinct campus
gigawatt:osm-way-209073635,osm-way-209073635,Gigawatt Map retained export,Observed footprint,building,Lumen Santa Clara,,,,,,,CA,Santa Clara County,,37.377005,-121.952082,Published point,,Observed footprint,,,,,,,,,,0.95,1.27,1.59,estimate,,,,,,,,,,,,,,,,,,,,,,,,,,D,Open geospatial inventory,osm_only,https://gigawattmap.com/data,,,,U.S. jurisdiction reconciled from co-located IM3 geometry.,Insufficient evidence to establish or attach a distinct campus
