Dataset,Geography Level,Geography,Metric,Value,Unit,Observation Date,Source,Source URL,Boundary
Project development records,State,Arkansas,Approved or Under Construction,1.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Arkansas,Cancelled,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Arkansas,Expanding,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Arkansas,Operating,2.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Arkansas,Proposed,3.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Arkansas,Suspended,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,Arkansas,Total,6.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,California,Active Pipeline,15.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,California,Approved or Under Construction,3.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
Project development records,State,California,Cancelled,0.0,facilities/projects,2026-03-26,FracTracker Alliance U.S. Data Centers Tracker,https://fractracker.org/2026/04/open-u-s-data-centers-tracker/,State snapshot predates the national June update and should be interpreted on its own date.
