Year,Month,Entity ID,Entity Name,Plant Producer Type,Plant Name,Plant State,Plant ID,Generator ID,Net Summer Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Pipeline Type,Technology Group,Date
2026,4.0,7140.0,Georgia Power Co,Electric Utility,Moody Air Force Base Solar,GA,62377.0,2,49.5,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,67601.0,Granite Mountain BESS East LLC,IPP,Granite Mountain BESS East,UT,69679.0,GMEBA,80.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,65076.0,"HEN Infrastructure, L.L.C.",IPP,Olney,TX,65832.0,OLNYD,9.9,Petroleum Liquids,DFO,IC,Addition,Other thermal,2026-04-01
2026,4.0,66319.0,"Heartwood Solar, LLC",IPP,Heartwood Solar,MI,67677.0,HWS,150.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,67231.0,"Iron Springs BESS, LLC",IPP,Iron Springs BESS,UT,69041.0,ISBA,80.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,11269.0,Lower Colorado River Authority,Electric Utility,Timmerman Power Plant,TX,66335.0,G11,18.6,Natural Gas Internal Combustion Engine,NG,IC,Addition,Natural gas,2026-04-01
2026,4.0,11269.0,Lower Colorado River Authority,Electric Utility,Timmerman Power Plant,TX,66335.0,G12,18.6,Natural Gas Internal Combustion Engine,NG,IC,Addition,Natural gas,2026-04-01
2026,4.0,11269.0,Lower Colorado River Authority,Electric Utility,Timmerman Power Plant,TX,66335.0,G13,18.6,Natural Gas Internal Combustion Engine,NG,IC,Addition,Natural gas,2026-04-01
2026,4.0,11269.0,Lower Colorado River Authority,Electric Utility,Timmerman Power Plant,TX,66335.0,G14,18.6,Natural Gas Internal Combustion Engine,NG,IC,Addition,Natural gas,2026-04-01
2026,4.0,11269.0,Lower Colorado River Authority,Electric Utility,Timmerman Power Plant,TX,66335.0,G15,18.6,Natural Gas Internal Combustion Engine,NG,IC,Addition,Natural gas,2026-04-01
2026,4.0,11269.0,Lower Colorado River Authority,Electric Utility,Timmerman Power Plant,TX,66335.0,G16,18.6,Natural Gas Internal Combustion Engine,NG,IC,Addition,Natural gas,2026-04-01
2026,4.0,11269.0,Lower Colorado River Authority,Electric Utility,Timmerman Power Plant,TX,66335.0,G17,18.6,Natural Gas Internal Combustion Engine,NG,IC,Addition,Natural gas,2026-04-01
2026,4.0,11269.0,Lower Colorado River Authority,Electric Utility,Timmerman Power Plant,TX,66335.0,G18,18.6,Natural Gas Internal Combustion Engine,NG,IC,Addition,Natural gas,2026-04-01
2026,4.0,11269.0,Lower Colorado River Authority,Electric Utility,Timmerman Power Plant,TX,66335.0,G19,18.6,Natural Gas Internal Combustion Engine,NG,IC,Addition,Natural gas,2026-04-01
2026,4.0,11269.0,Lower Colorado River Authority,Electric Utility,Timmerman Power Plant,TX,66335.0,G20,18.6,Natural Gas Internal Combustion Engine,NG,IC,Addition,Natural gas,2026-04-01
2026,4.0,11479.0,Madison Gas & Electric Co,Electric Utility,Blount BESS,WI,69311.0,BLTB,7.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,11479.0,Madison Gas & Electric Co,Electric Utility,Huiskamp BESS,WI,69312.0,HKPB,7.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,11479.0,Madison Gas & Electric Co,Electric Utility,West Middleton BESS,WI,69313.0,WMB,7.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,66572.0,"Montpelier Solar, LLC",IPP,Montpelier Solar Project,OH,68062.0,MPLR,49.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,56990.0,NJR Clean Energy Ventures Corporation,IPP,Stafford Solar One,CT,69282.0,STFRD,4.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,56990.0,NJR Clean Energy Ventures Corporation,IPP,Vineland Solar LLC,NJ,69951.0,VNLD2,15.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,66445.0,"NineDot Holdings, LLC",IPP,"Nelson Clean Energy, LLC",NY,67885.0,ND005,3.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,66445.0,"NineDot Holdings, LLC",IPP,"Nelson Clean Energy, LLC",NY,67885.0,ND006,5.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,66769.0,"Old 300 Storage Center, LLC",IPP,Old 300 Storage Center,TX,68365.0,8681,250.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,66852.0,"PVS 2, LLC",IPP,Pleasant Valley Solar 2 Project,ID,68487.0,PVS2,125.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,66844.0,Pediment BESS I LLC,IPP,Pediment BESS I,AZ,68477.0,1,250.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,65869.0,Prologis Logistics Services Incorporated,IPP,Prologis Edison 0405 - SLCNJ405 - Community Solar,NJ,69438.0,CN405,1.2,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,65869.0,Prologis Logistics Services Incorporated,IPP,Prologis Edison 0503 - SLCNJ005 - Community Solar,NJ,69619.0,CN005,1.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,67192.0,RWE Clean Energy,IPP,Arlington Valley Solar Energy I,AZ,57679.0,AVSE1,125.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,67465.0,"Redfield PV I, LLC",IPP,Redfield Solar,AR,69394.0,REDF1,100.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,67408.0,Regis Medina Lake LLC,IPP,Regis Medina Lake,TX,69341.0,MEDLA,9.9,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
2026,4.0,65265.0,Repsol Renewables NA,IPP,Hecate Energy Longhorn Solar LLC,TX,68839.0,RRPS,650.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,56128.0,SAS Institute Inc,IPP,SAS Solar Farm,NC,56915.0,5,1.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,66584.0,"SR Benton, LLC",IPP,SR Benton,TN,68095.0,BENTN,3.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,66662.0,"SR Gray, LLC",IPP,SR Gray,TN,68248.0,GRAY,6.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,66592.0,"SR Hickman, LLC",IPP,SR Hickman,TN,68103.0,HICK,5.5,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,66141.0,Solar PV Development NM 18 II LLC,IPP,Solar PV Development NM 18 II LLC,NM,67260.0,SPD,130.0,Solar Photovoltaic,SUN,PV,Addition,Solar,2026-04-01
2026,4.0,17718.0,Southwestern Public Service Co,Electric Utility,Cunningham Solar I & BESS,NM,69258.0,CHCB,36.0,Batteries,MWH,BA,Addition,Battery storage,2026-04-01
