Pipeline Type,Entity ID,Entity Name,Plant ID,Plant Name,Plant State,County,Balancing Authority Code,Sector,Generator ID,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Technology Group,Energy Source Code,Prime Mover Code,Expected Month,Expected Year,Status,Latitude,Longitude
Addition,65470,"Lock+ Hydro Friends Fund XLII, LLC",59091.0,Braddock Lock and Dam,PA,Allegheny,PJM,IPP Non-CHP,GEN1,5.3,5.3,5.3,Conventional Hydroelectric,Hydro,WAT,HY,3.0,2027.0,(L) Regulatory approvals pending. Not under construction,40.388889,-79.85889
Addition,67705,"Enbridge Wind (Easter), LLC",59971.0,Easter,TX,Castro,ERCO,IPP Non-CHP,ESTR1,152.0,152.0,152.0,Onshore Wind Turbine,Wind,WND,WT,3.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",34.668882,-102.3517
Addition,61751,Juniper Solar,62234.0,Juniper Solar,SC,Chesterfield,CPLE,IPP Non-CHP,48,74.9,74.9,74.9,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,(T) Regulatory approvals received. Not under construction,34.638189,-79.86121
Addition,63528,"Westlands Grape, LLC",63851.0,Grape,CA,Kings,CISO,IPP Non-CHP,GRAPE,246.4,246.4,246.4,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,(T) Regulatory approvals received. Not under construction,36.145687,-119.9051
Addition,61514,"Agilitas Energy, Inc.",64171.0,Tygart Hydropower,WV,Taylor,PJM,IPP Non-CHP,1,10.0,3.0,10.0,Conventional Hydroelectric,Hydro,WAT,HY,3.0,2027.0,(L) Regulatory approvals pending. Not under construction,39.279354,-80.00891
Addition,61514,"Agilitas Energy, Inc.",64171.0,Tygart Hydropower,WV,Taylor,PJM,IPP Non-CHP,2,10.0,3.0,10.0,Conventional Hydroelectric,Hydro,WAT,HY,3.0,2027.0,(L) Regulatory approvals pending. Not under construction,39.279354,-80.00891
Addition,61514,"Agilitas Energy, Inc.",64171.0,Tygart Hydropower,WV,Taylor,PJM,IPP Non-CHP,3,10.0,3.0,10.0,Conventional Hydroelectric,Hydro,WAT,HY,3.0,2027.0,(L) Regulatory approvals pending. Not under construction,39.279354,-80.00891
Addition,64934,"Chiquito Grid, LLC",65655.0,"Chiquito Grid, LLC",CA,Riverside,CISO,IPP Non-CHP,HECHQ,80.0,80.0,80.0,Batteries,Battery storage,MWH,BA,3.0,2027.0,"(P) Planned for installation, but regulatory approvals not initiated",33.58549,-117.2545
Addition,67189,Clear Fork,65842.0,Clear Fork Creek Solar and BESS SLF,TX,Wilson,ERCO,IPP Non-CHP,CFCBS,600.0,600.0,600.0,Batteries,Battery storage,MWH,BA,3.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",29.263568,-97.78055
Addition,67189,Clear Fork,65842.0,Clear Fork Creek Solar and BESS SLF,TX,Wilson,ERCO,IPP Non-CHP,CFCPV,600.0,600.0,600.0,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",29.263568,-97.78055
Addition,67721,Crossvine Solar 1 LLC,66441.0,Crossvine Solar,IN,Dubois,MISO,IPP Non-CHP,INCV1,100.0,100.0,100.0,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",38.264271,-87.00189
Addition,66061,BQ Energy Development,66657.0,Steubenville Solar,OH,Jefferson,PJM,IPP Non-CHP,STEUB,43.0,43.0,43.0,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,"(P) Planned for installation, but regulatory approvals not initiated",40.351722,-80.67036
Addition,65144,"Samsung C&T Renewables, LLC",66672.0,"Stark Solar, LLC",OH,Stark,PJM,IPP Non-CHP,AG239,150.0,150.0,150.0,Solar Photovoltaic,Solar,SUN,PV,3.0,2027.0,"(P) Planned for installation, but regulatory approvals not initiated",40.852661,-81.15701
Addition,62842,"Lightsource Renewable Energy Asset Management, LLC",66893.0,Jones City 2 Solar,TX,Jones,ERCO,IPP Non-CHP,TXJS2,200.0,200.0,200.0,Batteries,Battery storage,MWH,BA,3.0,2027.0,"(V) Under construction, more than 50 percent complete",32.794928,-99.99293
Addition,66121,Rock Rose Energy Storage LLC,67249.0,Rock Rose Energy Storage,TX,Fort Bend,ERCO,IPP Non-CHP,RRES,200.0,200.0,200.0,Batteries,Battery storage,MWH,BA,3.0,2027.0,"(U) Under construction, less than or equal to 50 percent complete",29.395241,-95.73535
