Date,Series,Metric,Value,Unit,Series ID,sector_name,measure_text,Source
2025-10-01,Manufacturing — Hourly compensation,Year-over-year change,4.8,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2026-01-01,Manufacturing — Hourly compensation,Year-over-year change,5.0,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2026-04-01,Manufacturing — Hourly compensation,Year-over-year change,4.5,percent,PRS30006101,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2020-01-01,Manufacturing — Hourly compensation,Index,108.134,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2020-04-01,Manufacturing — Hourly compensation,Index,115.157,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2020-07-01,Manufacturing — Hourly compensation,Index,111.137,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2020-10-01,Manufacturing — Hourly compensation,Index,113.084,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2021-01-01,Manufacturing — Hourly compensation,Index,113.119,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2021-04-01,Manufacturing — Hourly compensation,Index,114.57,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2021-07-01,Manufacturing — Hourly compensation,Index,114.079,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2021-10-01,Manufacturing — Hourly compensation,Index,115.786,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2022-01-01,Manufacturing — Hourly compensation,Index,116.079,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2022-04-01,Manufacturing — Hourly compensation,Index,116.548,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2022-07-01,Manufacturing — Hourly compensation,Index,118.476,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2022-10-01,Manufacturing — Hourly compensation,Index,118.411,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2023-01-01,Manufacturing — Hourly compensation,Index,119.065,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2023-04-01,Manufacturing — Hourly compensation,Index,121.7,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2023-07-01,Manufacturing — Hourly compensation,Index,123.458,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2023-10-01,Manufacturing — Hourly compensation,Index,125.533,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2024-01-01,Manufacturing — Hourly compensation,Index,126.47,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2024-04-01,Manufacturing — Hourly compensation,Index,128.052,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2024-07-01,Manufacturing — Hourly compensation,Index,129.609,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2024-10-01,Manufacturing — Hourly compensation,Index,130.415,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2025-01-01,Manufacturing — Hourly compensation,Index,131.873,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2025-04-01,Manufacturing — Hourly compensation,Index,133.256,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2025-07-01,Manufacturing — Hourly compensation,Index,135.006,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2025-10-01,Manufacturing — Hourly compensation,Index,136.663,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
2026-01-01,Manufacturing — Hourly compensation,Index,138.516,index 2017=100,PRS30006103,Manufacturing,Hourly compensation,BLS Labor Productivity and Costs
