Date,Value,Series ID,Series,Metric,Unit,Source
2024-01-01,237.9,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2024-02-01,238.8,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2024-03-01,237.7,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2024-04-01,239.4,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2024-05-01,236.7,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2024-06-01,237.1,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2024-07-01,237.1,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2024-08-01,239.4,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2024-09-01,239.2,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2024-10-01,238.5,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2024-11-01,240.5,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2024-12-01,243.0,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2025-01-01,243.5,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2025-02-01,246.0,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2025-03-01,245.7,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2025-04-01,244.2,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2025-05-01,248.7,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2025-06-01,246.8,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2025-07-01,250.4,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2025-08-01,250.0,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2025-09-01,250.8,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2025-10-01,252.0,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2025-11-01,251.1,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2025-12-01,249.7,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2026-01-01,251.3,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2026-02-01,249.1,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2026-03-01,249.4,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2026-04-01,249.2,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2026-05-01,250.8,CES2023713001,Power & communication construction,Employment,thousand jobs,BLS Current Employment Statistics
2020-01-01,374.0,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2020-02-01,374.2,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2020-03-01,374.1,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2020-04-01,369.8,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2020-05-01,366.3,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2020-06-01,369.7,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2020-07-01,367.6,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2020-08-01,366.2,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2020-09-01,365.7,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2020-10-01,365.6,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2020-11-01,364.5,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2020-12-01,364.9,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2021-01-01,366.3,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2021-02-01,365.8,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2021-03-01,366.7,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2021-04-01,366.9,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2021-05-01,367.4,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2021-06-01,367.8,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2021-07-01,368.5,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2021-08-01,369.3,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2021-09-01,373.3,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2021-10-01,373.9,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2021-11-01,374.3,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2021-12-01,374.4,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
2022-01-01,376.5,CES3133440001,Semiconductor manufacturing,Employment,thousand jobs,BLS Current Employment Statistics
