Entity ID,Entity Name,Plant ID,Plant Name,Plant State,County,Balancing Authority Code,Sector,Generator ID,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Technology Group,Energy Source Code,Prime Mover Code,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Status,Nameplate Energy Capacity (MWh),Latitude,Longitude
63249,Terraform Arcadia,61915.0,Bowie State Solar,MD,Prince Georges,PJM,IPP Non-CHP,SO285,1.3,1.3,1.3,Solar Photovoltaic,Solar,SUN,PV,3.0,2018.0, , ,(OP) Operating,,39.019083,-76.75948
61521,"Pegasus Wind, LLC",61916.0,Pegasus Wind,MI,Tuscola,MISO,IPP Non-CHP,PWEC,48.0,48.0,48.0,Onshore Wind Turbine,Wind,WND,WT,12.0,2019.0, , ,(OP) Operating,,43.452003,-83.50721
61521,"Pegasus Wind, LLC",61916.0,Pegasus Wind,MI,Tuscola,MISO,IPP Non-CHP,PWEC2,130.0,130.0,130.0,Onshore Wind Turbine,Wind,WND,WT,9.0,2020.0, , ,(OP) Operating,,43.452003,-83.50721
61520,Kearsarge Oppenheim LLC,61917.0,Kearsarge Oppenheim CSG,NY,Fulton,NYIS,IPP Non-CHP,OPPEN,1.4,1.4,1.4,Solar Photovoltaic,Solar,SUN,PV,7.0,2018.0, , ,(OP) Operating,,43.060223,-74.73642
5248,Dominion Energy Inc.,61918.0,"Blackville Solar Farm, LLC",SC,Barnwell,SCEG,IPP Non-CHP,1,7.2,7.2,7.2,Solar Photovoltaic,Solar,SUN,PV,12.0,2020.0, , ,(OP) Operating,,33.342619,-81.25893
61518,Frontenac Holdco LLC,61919.0,"Frontenac Holdco LLC, CSG",MN,Goodhue,MISO,IPP Non-CHP,FRONT,5.0,5.0,5.0,Solar Photovoltaic,Solar,SUN,PV,3.0,2019.0, , ,(OP) Operating,,44.501673,-92.35871
61523,225DD 8me LLC,61920.0,Galloway 1 Solar Farm,TX,Concho,ERCO,IPP Non-CHP,GSM01,250.0,250.0,250.0,Solar Photovoltaic,Solar,SUN,PV,10.0,2021.0, , ,(OP) Operating,,31.435932,-99.79661
61527,"Tahoka Wind, LLC",61921.0,Tahoka Wind,TX,Lynn,ERCO,IPP Non-CHP,TAH,300.0,300.0,300.0,Onshore Wind Turbine,Wind,WND,WT,12.0,2018.0, , ,(OP) Operating,,33.150904,-101.6792
59474,BQ Energy LLC,61922.0,Sunlight Beacon,NY,Dutchess,NYIS,IPP Non-CHP,BEACO,2.0,2.0,2.0,Solar Photovoltaic,Solar,SUN,PV,7.0,2018.0, , ,(OP) Operating,,41.494632,-73.98164
61522,"Viridity Energy Solutions, Inc.",61923.0,ACUA,NJ,Atlantic,PJM,IPP Non-CHP,VACUA,1.0,1.0,1.0,Batteries,Battery storage,MWH,BA,6.0,2018.0, , ,(OP) Operating,1.0,39.381969,-74.44515
61528,"Cumberland Land Holdings, LLC",61924.0,"Cumblerland Land Holdings, LLC",AL,Limestone,TVA,IPP Non-CHP,CUMB,14.7,14.7,14.7,Solar Photovoltaic,Solar,SUN,PV,12.0,2018.0, , ,(OP) Operating,,34.94974,-86.86805
61531,"Casa Mesa Wind, LLC",61925.0,Casa Mesa Wind Energy Center Hybrid,NM,Quay,PNM,IPP Non-CHP,CMNM,50.9,50.9,50.9,Onshore Wind Turbine,Wind,WND,WT,11.0,2018.0, , ,(OP) Operating,,34.604989,-103.9661
61531,"Casa Mesa Wind, LLC",61925.0,Casa Mesa Wind Energy Center Hybrid,NM,Quay,PNM,IPP Non-CHP,CMNMB,1.0,1.0,1.0,Batteries,Battery storage,MWH,BA,11.0,2018.0, , ,(OP) Operating,1.0,34.604989,-103.9661
61530,"Armadillo Flats Wind Project, LLC",61926.0,"Armadillo Flats Wind Project, LLC",OK,Garfield,SWPP,IPP Non-CHP,ARM,247.3,247.3,247.3,Onshore Wind Turbine,Wind,WND,WT,12.0,2018.0, , ,(OP) Operating,,36.300964,-97.56704
61499,Georgia-Pacific Wood Products LLC,61927.0,Georgia-Pacific Taylorsville Plywood,MS,Smith,SOCO,Industrial CHP,CTG1,7.2,6.2,8.2,Natural Gas Fired Combustion Turbine,Natural gas,NG,GT,7.0,2018.0, , ,(OP) Operating,,31.837173,-89.4635
61060,Cypress Creek Renewables,61928.0,Saint Albans Solar,VT,Franklin,ISNE,IPP Non-CHP,GEN1,4.9,4.9,4.9,Solar Photovoltaic,Solar,SUN,PV,10.0,2018.0, , ,(OP) Operating,,44.779729,-73.10582
61533,Techren Solar II LLC,61930.0,Techren Solar II LLC,NV,Clark,NEVP,IPP Non-CHP,TECH2,200.0,200.0,200.0,Solar Photovoltaic,Solar,SUN,PV,10.0,2019.0, , ,(OP) Operating,,35.867258,-114.9564
61534,Techren Solar III LLC,61931.0,Techren Solar III LLC,NV,Clark,NEVP,IPP Non-CHP,TECH3,25.0,25.0,25.0,Solar Photovoltaic,Solar,SUN,PV,10.0,2020.0, , ,(OP) Operating,,35.844106,-114.9713
61535,Techren Solar IV LLC,61932.0,Techren Solar IV LLC,NV,Clark,NEVP,IPP Non-CHP,TECH4,25.0,25.0,25.0,Solar Photovoltaic,Solar,SUN,PV,10.0,2020.0, , ,(OP) Operating,,35.892658,-114.9365
64778,"Strata Manager, LLC",61933.0,Adams Nielson Solar,WA,Adams,AVA,IPP Non-CHP,ADAMS,19.2,19.2,19.2,Solar Photovoltaic,Solar,SUN,PV,11.0,2018.0, , ,(OP) Operating,,46.95528,-118.6212
61538,Ecogy Delaware II LLC.,61934.0,WHA Southbridge Solar Park CSG,DE,New Castle,PJM,IPP Non-CHP,2,1.4,1.4,1.4,Solar Photovoltaic,Solar,SUN,PV,6.0,2018.0, , ,(OP) Operating,,39.723644,-75.54598
