Geography,Use Category,Total Withdrawal Mgal/d,Fresh Groundwater Mgal/d,Saline Groundwater Mgal/d,Fresh Surface Water Mgal/d,Saline Surface Water Mgal/d,Component Sum Mgal/d,Residual Mgal/d
VI,irrigation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI,livestock,0.02,0.01,0.0,0.01,0.0,0.02,0.0
VI,aquaculture,0.0,0.0,,0.0,,,
VI,mining,0.02,0.0,0.0,0.0,0.02,0.02,0.0
VI,thermoelectric_power,96.66,0.0,0.0,0.14,96.52000000000001,96.66000000000001,-1.4210854715202004e-14
VT,public_supply,42.660000000000004,13.889999999999997,0.0,28.77,0.0,42.66,7.105427357601002e-15
VT,domestic_self_supply,10.96,10.96,0.0,0.0,0.0,10.96,0.0
VT,industrial_self_supply,10.97,1.5100000000000002,0.0,9.459999999999999,0.0,10.969999999999999,1.7763568394002505e-15
VT,irrigation,3.1100000000000003,1.0200000000000002,0.0,2.09,0.0,3.1100000000000003,0.0
VT,livestock,5.87,4.41,0.0,1.4600000000000002,0.0,5.87,0.0
VT,aquaculture,12.01,4.17,,7.84,,,
VT,mining,4.5600000000000005,0.23,0.0,4.33,0.0,4.5600000000000005,0.0
VT,thermoelectric_power,0.8,0.54,0.0,0.26,0.0,0.8,0.0
WA,public_supply,866.5300000000002,521.1899999999999,0.0,345.34000000000003,0.0,866.53,2.2737367544323206e-13
